"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 23 12:16:11 GMT 2022","Tue Aug 23 12:16:14 GMT 2022","2083","","Regresion Damm - Login","","Caso1- Alta pincode no válido","","Caso1- Alta pincode no válido",""
"broken","Tue Aug 23 12:16:17 GMT 2022","Tue Aug 23 12:16:18 GMT 2022","688","","Regresion Damm - Bar Manager","","Caso7- Cambio de establecimiento predeterminado","","Caso7- Cambio de establecimiento predeterminado",""
"broken","Tue Aug 23 12:16:18 GMT 2022","Tue Aug 23 12:16:19 GMT 2022","687","","Regresion Damm - Bar Tools","","Caso8- Flag Consumos (USER PROMO)","","Caso8- Flag Consumos (USER PROMO)",""
"broken","Tue Aug 23 12:16:20 GMT 2022","Tue Aug 23 12:16:20 GMT 2022","683","","Regresion Damm - Bar Tools","","Caso10- Carta Digital (USER PROMO)","","Caso10- Carta Digital (USER PROMO)",""
"broken","Tue Aug 23 12:16:15 GMT 2022","Tue Aug 23 12:16:15 GMT 2022","684","","Regresion Damm - Settings","","Caso3- Cambio contraseña","","Caso3- Cambio contraseña",""
"broken","Tue Aug 23 12:16:19 GMT 2022","Tue Aug 23 12:16:20 GMT 2022","684","","Regresion Damm - Bar Tools","","Caso9- Flag Promociones (USER PROMO)","","Caso9- Flag Promociones (USER PROMO)",""
"broken","Tue Aug 23 12:16:17 GMT 2022","Tue Aug 23 12:16:17 GMT 2022","703","","Regresion Damm - Bar Manager","","Caso6- Cambio de establecimiento","","Caso6- Cambio de establecimiento",""
"broken","Tue Aug 23 12:16:16 GMT 2022","Tue Aug 23 12:16:17 GMT 2022","709","","Regresion Damm - Bar Manager","","Caso5- Acceso a Bar Manager","","Caso5- Acceso a Bar Manager",""
"broken","Tue Aug 23 12:16:14 GMT 2022","Tue Aug 23 12:16:14 GMT 2022","816","","Regresion Damm - Login","","Caso2- Log in - user activo","","Caso2- Log in - user activo",""
"broken","Tue Aug 23 12:16:15 GMT 2022","Tue Aug 23 12:16:16 GMT 2022","671","","Regresion Damm - Settings","","Caso4- Cambio de idioma","","Caso4- Cambio de idioma",""
